CODMUNRES,municipio,uf,REG,deaths_total,live_births,nmr,idhm,expA,SMR_A,SMR_A_lo,SMR_A_hi,SMR_A_eb,expB,SMR_B,sig_excess,sig_deficit,excess_deaths,illdef_share,exp_prenatal,exp_delivery,exp_newborn,exp_malformation
110147,Primavera de Rondônia,RO,North,4,477,8.385744234800839,0.641,4.133542211713546,0.9676930330274319,0.260345813024186,2.4774762700505915,0.9984999952583637,4.2119589168439875,0.949676879326542,False,False,0.0,0.0,0.907679420029994,0.2984710822448292,1.7392350533124499,0.8951589867415822
110148,São Felipe D'Oeste,RO,North,3,649,4.622496147919877,0.649,5.707740899444758,0.5256019943532889,0.10564119523286988,1.5356976696596314,0.9701139141084126,5.83718728447636,0.5139461617033113,False,False,0.0,0.0,1.3155835403394613,0.472909542868137,2.362878476198783,1.189536774829038
110149,São Francisco do Guaporé,RO,North,30,3265,9.188361408882084,0.611,29.78162653190425,1.0073324896429618,0.6795108745873709,1.438080351296276,1.001904265710902,31.116118934636766,0.9641305222871364,False,False,0.21837346809574854,0.03225806451612903,6.80596940673587,2.115619457943917,12.380663792112946,6.0927238049460355
110150,Seringueiras,RO,North,21,1903,11.035207566999476,0.598,17.685866829256895,1.1873887891805615,0.7347333682706557,1.8151352484881909,1.0323077326506638,17.87286891307953,1.174965256116885,False,False,3.314133170743105,0.045454545454545456,3.889684580630642,1.2530407902201475,7.4868950282657964,3.581465244317345
110155,Teixeirópolis,RO,North,7,618,11.326860841423947,0.643,5.392252493802271,1.2981587950574711,0.52008519401439,2.674812164015668,1.017807161200278,5.181555786149957,1.3509456018423376,False,False,1.6077475061977289,0.0,1.192516487848791,0.3813697824578423,2.2626332414268666,1.1606394370317574
110160,Theobroma,RO,North,7,1180,5.932203389830509,0.589,11.12330240765291,0.6293095111020223,0.25212212898970227,1.2966709016148685,0.9570568150784986,10.967839212927938,0.63822963339479,False,False,0.0,0.0,2.4303143598164247,0.8355627920278499,4.734506761396625,2.2112612121500828
110170,Urupá,RO,North,11,1653,6.654567453115548,0.609,15.390649829058553,0.7147196591550853,0.3563001080784336,1.2789087749367918,0.9562182653516649,15.030531716902537,0.7318437036814862,False,False,0.0,0.15384615384615385,3.4530227217744054,1.1952689484999008,6.473756650682267,3.0697443791969157
110175,Vale do Anari,RO,North,13,983,13.224821973550355,0.584,9.286938970483401,1.3998153795688535,0.744620048172012,2.3938702604218967,1.0394246283013169,9.272503123083847,1.4019946747320655,False,False,3.7130610295165987,0.0,2.0163362715443442,0.6840734352155357,3.9627851736294537,1.8482154062575002
110180,Vale do Paraíso,RO,North,9,852,10.56338028169014,0.627,7.6443723856488885,1.1773366793192976,0.5372429306172098,2.2350795890963244,1.0146493063165873,7.41648450677209,1.2135129510190417,False,False,1.3556276143511115,0.0,1.7032479819344575,0.5604181443738792,3.208961489453974,1.5926681454499039
120001,Acrelândia,AC,North,11,2571,4.278490859587709,0.604,24.981374684512144,0.4403280499539418,0.2195111464738826,0.7879164924645061,0.8727527954014271,24.852302533327336,0.44261492412016246,False,True,0.0,0.15384615384615385,5.59241252651892,2.1456534899331965,10.585504501643431,4.732050908575275
120005,Assis Brasil,AC,North,21,2596,8.089368258859784,0.588,25.11011284819238,0.8363164326245448,0.5174965395339359,1.2784586224654597,0.9626368425800911,26.203600392804194,0.8014165872322965,False,False,0.0,0.125,5.44822860250697,2.135162699371245,10.775105651043928,4.813418737155033
120010,Brasiléia,AC,North,60,5781,10.378827192527243,0.614,54.50845289260645,1.1007467065376648,0.8399387082722641,1.4169036149994902,1.0393933857391127,55.90295666484793,1.0732884909775857,False,False,5.491547107393551,0.09090909090909091,12.672198623048562,4.39229765647402,22.630205985715815,10.620187292589435
120013,Bujari,AC,North,17,2879,5.9048280653004515,0.589,27.61907418033212,0.6155166494359143,0.3583565851355121,0.9855547376334267,0.9056194643035599,26.476390603046944,0.6420814776030541,False,True,0.0,0.05555555555555555,6.044211647504587,2.1939410404961017,11.782223916461511,5.364669160131254
120017,Capixaba,AC,North,24,2279,10.530934620447566,0.575,22.332656575082975,1.0746594306553443,0.6883516453374802,1.599076057738039,1.0155496640580755,21.821933277189085,1.099810896456534,False,False,1.667343424917025,0.14285714285714285,4.778652834721751,1.7339170335233882,9.634831582912032,4.277854328395632
120020,Cruzeiro do Sul,AC,North,162,18346,8.830262727570043,0.664,165.34750960326664,0.9797547020133619,0.8346816582878458,1.142789458241291,0.9866229013672775,162.62800537139793,0.9961383934460505,False,False,0.0,0.047058823529411764,42.68643957643587,13.673239767112195,65.39158007746525,32.870550506301115
120025,Epitaciolândia,AC,North,37,3127,11.8324272465622,0.653,27.410766807373523,1.3498345471330253,0.9502822265149323,1.8606227602138998,1.0853855660346747,28.368274626025045,1.3042738935577074,False,False,9.589233192626477,0.0975609756097561,6.577671818886392,2.089999431623809,11.132095417039308,5.731560608936122
120030,Feijó,AC,North,121,9078,13.328927076448556,0.539,95.46803330354587,1.2674399567368675,1.0516704101796617,1.514440245850975,1.141559292069139,101.48151591926693,1.1923353618038275,True,False,25.531966696454134,0.1357142857142857,21.013991441302807,8.500041591766706,41.104685360574905,16.7298242374978
120032,Jordão,AC,North,24,2769,8.66738894907909,0.469,31.38533663300916,0.7646883090862974,0.4898058312379922,1.137843982764292,0.9364864241493871,31.844398073043465,0.7536647401828641,False,False,0.0,0.1111111111111111,6.118308982287482,2.925921364550567,14.351507292375684,5.215095055195273
120033,Mâncio Lima,AC,North,39,3981,9.796533534287867,0.625,37.644083004578626,1.036019392350624,0.7366223732223671,1.4163113585635108,1.0110652415061503,36.80525240309336,1.059631369264083,False,False,1.3559169954213743,0.09302325581395349,8.888325302470983,3.4817243928542414,15.574628946989241,7.1897494487173965
120034,Manoel Urbano,AC,North,33,2833,11.64842922696788,0.551,28.4272669062563,1.1608572891943167,0.7989503736343183,1.6303277440417814,1.040351828095949,29.183321837313937,1.1307828554940595,False,False,4.5727330937437,0.08333333333333333,5.959020334253625,2.2503849201902804,12.406620705117314,5.332140031593605
120035,Marechal Thaumaturgo,AC,North,36,4353,8.270158511371468,0.501,49.37290913282842,0.7291448009099251,0.510612971437003,1.0094736493069136,0.9004007942396045,49.69589385224657,0.7244059259107696,False,False,0.0,0.07692307692307693,10.302414100526033,5.240614328889622,21.99355395298534,7.979178087393011
120038,Plácido de Castro,AC,North,23,3239,7.100957085520222,0.622,30.638695264827728,0.7506847077265488,0.4757177337678094,1.1264451696622444,0.9338830081405992,30.606125274312646,0.751483560687887,False,False,0.0,0.17857142857142858,7.130826100407221,2.680988310863653,12.73998753022765,5.900017970225996
120039,Porto Walter,AC,North,30,2879,10.420284821118443,0.532,30.523967603204863,0.982834223584032,0.6629852106514466,1.403106322936819,0.9954602721508868,29.777987222102873,1.007455600549534,False,False,0.0,0.14285714285714285,6.440102094263213,2.933058639641662,13.413200955466023,5.3119601469374444
120040,Rio Branco,AC,North,610,66527,9.1692094938897,0.727,552.5080893747103,1.1040562332586932,1.0181675062410254,1.1952546171286957,1.0901971972567317,549.0024936948462,1.1111060641904082,True,False,57.491910625289734,0.08545727136431784,159.75674786637916,40.596661790784225,206.00210034900238,117.66855472399054
120042,Rodrigues Alves,AC,North,38,3719,10.217800484001076,0.567,38.48643679906535,0.9873608252796953,0.6986271194530606,1.355267927420292,0.9960574337399123,37.00945542797932,1.0267646351605548,False,False,0.0,0.07317073170731707,8.62175163509258,3.9917399369562454,16.472035988082013,6.722600606927165
120043,Santa Rosa do Purus,AC,North,25,1940,12.886597938144329,0.517,20.88710450119327,1.1969107541244772,0.7743661127856613,1.7669491093434748,1.0388810759090243,22.284413020765534,1.1218603773275952,False,False,4.112895498806729,0.10714285714285714,4.178711502543844,1.9074502968374638,9.393015148728782,3.638504349711508
120045,Senador Guiomard,AC,North,32,4374,7.315957933241884,0.64,39.41408416063108,0.8118925171414572,0.5552380178141787,1.1461879851842904,0.9403573365817705,38.42565113571061,0.8327770396650748,False,False,0.0,0.030303030303030304,9.307068716772948,2.9775939931183757,16.15903437674639,8.055355406644757
120050,Sena Madureira,AC,North,92,8403,10.948470784243725,0.603,83.32312408871005,1.1041352686446575,0.8900650848837911,1.3541379952361712,1.0515813094591058,84.95747623288855,1.0828946913136428,False,False,8.676875911289955,0.05154639175257732,19.341264410418447,7.1570956253748,34.8396736542502,15.35662651784344
120060,Tarauacá,AC,North,162,12503,12.956890346316884,0.539,132.4793524026203,1.2228320644840034,1.0417663659011847,1.4263157804908349,1.1358059953160733,138.36016197133782,1.170857258995977,True,False,29.520647597379707,0.09497206703910614,29.416387408081928,12.055930747897472,56.89827488198862,22.952799210212778
120070,Xapuri,AC,North,19,3408,5.575117370892019,0.599,32.38426761408074,0.5867046377710504,0.3530720747190924,0.9162580615252891,0.8858762867881304,32.3978303494711,0.5864590250349953,False,True,0.0,0.09523809523809523,7.289584360396953,2.5057855913301434,13.630028881369439,6.3293065357555305
120080,Porto Acre,AC,North,38,3976,9.557344064386315,0.576,39.310863594114245,0.9666539100323781,0.6839755228111806,1.3268452703814637,0.9894459829895266,38.027738687453564,0.9992705670015894,False,False,0.0,0.13636363636363635,8.639190832037722,3.2037297626023262,16.800307132932307,7.387268267384252
130002,Alvarães,AM,North,59,3913,15.07794531050345,0.527,43.09905574646024,1.3689395040828876,1.0420401349956476,1.7658632263526124,1.1242325586828485,51.38986789416939,1.1480862360164588,True,False,15.900944253539762,0.06349206349206349,9.068644397252724,4.3720309148104235,19.055972855593836,7.189336728333382
130006,Amaturá,AM,North,43,2835,15.167548500881834,0.56,29.895685292993342,1.4383346485814767,1.0408248047047621,1.937475289870139,1.1141590241966506,38.25449836652509,1.1240508132666431,True,False,13.104314707006658,0.12244897959183673,6.488015241060314,3.1722318175661948,12.999944559686393,5.14816208625333
130008,Anamã,AM,North,19,2086,9.108341323106425,0.594,20.564175651539088,0.9239368658367777,0.5560145346213303,1.4429144533091482,0.9851678550990685,21.30751901654732,0.89170400295054,False,False,0.0,0.05,4.692079377910632,2.078440974607085,8.685327991994486,3.7630247752776276
130010,Anori,AM,North,30,2713,11.057869517139697,0.561,28.11617982173745,1.067001285032546,0.7197613338524365,1.5232642633784652,1.0166694264941398,29.125312292405464,1.0300318739525622,False,False,1.8838201782625497,0.0625,6.196611708264496,2.6752746003571857,12.09767523884129,4.96377205756284
130014,Apuí,AM,North,30,2716,11.045655375552284,0.637,24.822488327268164,1.2085814928974787,0.8152663352891133,1.7253859234622846,1.0471897776592543,29.262212567310144,1.0252129749584986,False,False,5.1775116727318355,0.0,5.914123138187593,2.0574745855824377,10.172169714402484,4.94745158246892
130020,Atalaia do Norte,AM,North,58,3917,14.807250446770489,0.45,46.47666437828405,1.2479380948668115,0.9475554546120242,1.6132782504353353,1.0877159891513184,52.732198792521125,1.0998972416872932,False,False,11.523335621715951,0.09375,9.166936477586574,4.568832317771839,21.26890464716911,7.326204857634868
130030,Autazes,AM,North,73,9659,7.55771819028885,0.577,101.19801500087999,0.7213580226782631,0.5654070580959626,0.907011874449459,0.8484729885369489,101.71585774349087,0.7176855371371187,False,True,0.0,0.12048192771084337,23.05658869906529,9.942120780951454,43.00876588646225,17.498679991780385
130040,Barcelos,AM,North,162,5377,30.12832434442998,0.5,58.85422127743861,2.752563817577885,2.344989543890649,3.2106004772422216,1.7175431458006893,64.15724708910459,2.525045997921432,True,False,103.14577872256139,0.38636363636363635,12.260939926639404,5.12083295889513,26.03347547738895,10.052839245257367
130050,Barreirinha,AM,North,105,9098,11.540998021543196,0.574,98.04189386524926,1.070970743836447,0.8759292757725529,1.2964868612704563,1.0380356960637447,96.25562918700423,1.0908452927569288,False,False,6.958106134750736,0.07894736842105263,22.826845897416522,12.16675266662418,41.60357064247577,16.034707399332788
130060,Benjamin Constant,AM,North,111,11014,10.078082440530236,0.574,115.59827543351997,0.9602219374270473,0.7899041248986157,1.1563644553675714,0.9770651106551425,135.3539697778833,0.8200719948011255,False,False,0.0,0.0975609756097561,26.672289140342894,11.974797025171256,48.927928628705914,19.796093371466018
130063,Beruri,AM,North,48,5588,8.589835361488905,0.506,61.93455108774253,0.7750116721117186,0.5713850200964018,1.0275756826031852,0.9050966528500244,62.768947680165226,0.7647093311900119,False,False,0.0,0.14285714285714285,12.936816963753214,5.973326685381064,27.458300085015452,10.336015653135204
130068,Boa Vista do Ramos,AM,North,40,3373,11.858879335902758,0.565,35.67039159417831,1.1213782134796724,0.8010368988709323,1.527039566688507,1.0359110757878756,35.691836530938836,1.120704449190411,False,False,4.329608405821688,0.06976744186046512,8.03658910127495,3.9599804716433926,15.284873377461594,6.050714356897571
130070,Boca do Acre,AM,North,82,7855,10.439210693825588,0.588,78.82214018243772,1.0403168425801046,0.8273679387996615,1.291322960406857,1.0194107535823895,79.99830505335724,1.025021716963974,False,False,3.177859817562279,0.14583333333333334,18.078884573599172,7.033809804242377,33.191904561667336,14.33834203493021
130080,Borba,AM,North,87,8161,10.660458277171916,0.56,86.85744152676673,1.0016412925677685,0.8022500330878389,1.2355346056283576,1.0008300262776724,88.45741113198625,0.9835241489284412,False,False,0.1425584732332652,0.06451612903225806,19.510197686648887,8.55864848278432,37.19931206287192,14.827916482288872
130083,Caapiranga,AM,North,24,2122,11.310084825636192,0.569,21.681304203319403,1.1069444796741335,0.7090311889937737,1.6471156947022467,1.0217563431439851,21.902967997208762,1.0957419105510484,False,False,2.318695796680597,0.07692307692307693,4.720052880198756,2.0223348565742434,9.360348947604527,3.8991332890040273
130090,Canutama,AM,North,27,2179,12.391005048187242,0.53,23.44823084835341,1.151472798720591,0.7586484705142152,1.6753971301847244,1.0327827728405126,24.717297999847066,1.0923524084293945,False,False,3.551769151646589,0.06896551724137931,4.959898643984839,2.2403537877197204,10.307099383583369,4.021680083169709
130100,Carauari,AM,North,81,6693,12.102196324518152,0.549,70.90938214570234,1.1423030006602481,0.9071233257754258,1.41979557517684,1.0647649438164022,85.46549378565233,0.947750915745578,False,False,10.090617854297662,0.0898876404494382,15.678766766208028,6.847260280459431,30.5462489546655,12.224159984828212
130110,Careiro,AM,North,45,5740,7.839721254355401,0.557,61.83026474685832,0.7277989215190367,0.5308121132493608,0.9738752038208659,0.8852934900989438,61.59433067088961,0.7305867197493172,False,True,0.0,0.08163265306122448,13.852984711289412,6.387765665159756,26.567874772344773,10.387189858339285
